datasetUuid,endpointType,startedCrawling,finishedCrawling,duration,finishReason,pagesCrawled,pagesFragmentedSuccessful,pagesFragmentedError,fragmentsEmitted,fragmentsReceived,rawOccurrencesPersistedNew,rawOccurrencesPersistedUpdated,rawOccurrencesPersistedUnchanged,rawOccurrencesPersistedError,fragmentsProcessed,verbatimOccurrencesPersistedSuccessful,verbatimOccurrencesPersistedError,interpretedOccurrencesPersistedSuccessful,interpretedOccurrencesPersistedError
http://gbrds.gbif.org/browse/agent?uuid=806df471-8b78-4166-a186-ba07c7c957ec,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:59:04,2013-04-09T10:59:05,0,NORMAL,1,1,0,318,318,318,0,0,0,318,318,0,318,0
http://gbrds.gbif.org/browse/agent?uuid=952abcff-26e3-4d3e-8659-5d857f9947c0,DWC_ARCHIVE_CHECKLIST,2013-04-09T10:55:10,2013-04-09T10:55:12,2,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=fe51a93b-a7f8-48ec-99c8-7c347716e8d3,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:46:39,2013-04-09T11:46:40,1,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=f53166cd-21d1-404a-97bc-f26bc2ce875a,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:55:22,2013-04-09T10:55:23,1,NORMAL,1,1,0,3061,3061,3061,0,0,0,3061,3061,0,3061,0
http://gbrds.gbif.org/browse/agent?uuid=217b0d4f-c87e-4063-b6c5-78277e40e866,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:25:12,2013-04-09T11:25:14,2,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=4584c74a-b6e5-46da-958d-662bcb152934,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:59:07,2013-04-09T10:59:07,0,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=dc9294e3-3d6d-4a96-baa6-5225140c183b,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:58:30,2013-04-09T10:58:34,4,NORMAL,1,1,0,4714,4714,4714,0,0,0,4714,4714,0,4714,0
http://gbrds.gbif.org/browse/agent?uuid=63ded963-7d68-4686-844d-e24969ef07f8,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:16:32,2013-04-09T11:16:34,2,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=e4746398-f7c4-47a1-a474-ae80a4f18e92,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:16:40,2013-04-09T11:16:41,0,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=9ca92552-f23a-41a8-a140-01abaa31c931,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:13:32,2013-04-09T11:13:33,1,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
